S/N,Building/Project Name,Street Name,Postal District,Type,No. of Bedroom(for Non-Landed Only),Floor Area (sq ft),Lease Commencement Date,Monthly Gross Rent($)
1,J GATEWAY,GATEWAY DRIVE,22,Non-landed Properties,1,500 to 600,Oct-2018,2300
2,CASPIAN,LAKESIDE DRIVE,22,Non-landed Properties,4,1300 to 1400,Oct-2018,3600
3,HILLSTA,PHOENIX ROAD,23,Non-landed Properties,2,800 to 900,Oct-2018,2250
4,CASPIAN,LAKESIDE DRIVE,22,Non-landed Properties,2,900 to 1000,Oct-2018,2800
5,THE MADEIRA,BUKIT BATOK STREET 3,23,Non-landed Properties,3,1200 to 1300,Oct-2018,2400
6,THE HILLFORD,JALAN JURONG KECHIL,21,Non-landed Properties,1,300 to 400,Oct-2018,1700
7,GRAND CHATEAU,JALAN RAJAWALI,21,Non-landed Properties,3,1100 to 1200,Oct-2018,2300
8,WOODHAVEN,WOODGROVE AVENUE,25,Non-landed Properties,2,700 to 800,Oct-2018,2000
9,THE MADEIRA,BUKIT BATOK STREET 31,23,Non-landed Properties,3,1200 to 1300,Oct-2018,1150
10,REGENT GROVE,CHOA CHU KANG NORTH 7,23,Non-landed Properties,3,1100 to 1200,Oct-2018,2350
11,HILLVIEW GREEN,HUME AVENUE,21,Non-landed Properties,4,1700 to 1800,Oct-2018,3500
12,THE LAKESHORE,JURONG WEST STREET 41,22,Non-landed Properties,3,1100 to 1200,Oct-2018,3000
13,MEADOWS @ PEIRCE,UPPER THOMSON ROAD,26,Non-landed Properties,3,1200 to 1300,Oct-2018,3000
14,HILLSTA,PHOENIX ROAD,23,Non-landed Properties,na*,500 to 600,Oct-2018,1700
15,THE CREEK @ BUKIT,TOH TUCK ROAD,21,Non-landed Properties,2,1200 to 1300,Oct-2018,3100
16,GARDENVISTA,DUNEARN ROAD,21,Non-landed Properties,3,1100 to 1200,Oct-2018,3700
17,PANDAN VALLEY,PANDAN VALLEY,21,Non-landed Properties,3,1600 to 1700,Oct-2018,3300
18,ROSEWOOD,ROSEWOOD DRIVE,25,Non-landed Properties,3,1100 to 1200,Oct-2018,2400
19,ENG KONG GREEN,ENG KONG CRESCENT,21,Non-landed Properties,2,1000 to 1100,Oct-2018,2100
20,HILLVIEW HEIGHTS,HILLVIEW AVENUE,23,Non-landed Properties,2,900 to 1000,Oct-2018,2150
21,WOODHAVEN,WOODGROVE AVENUE,25,Non-landed Properties,1,600 to 700,Oct-2018,1800
22,FLORIDIAN,BUKIT TIMAH ROAD,21,Non-landed Properties,2,900 to 1000,Oct-2018,3200
23,THE CENTRIS,JURONG WEST CENTRAL 3,22,Non-landed Properties,4,1400 to 1500,Oct-2018,3800
24,THE LAKESHORE,JURONG WEST STREET 41,22,Non-landed Properties,3,1100 to 1200,Oct-2018,3200
25,THE RAINTREE,BUKIT DRIVE,21,Non-landed Properties,3,1300 to 1400,Oct-2018,3000
26,THE LAKESHORE,JURONG WEST STREET 41,22,Non-landed Properties,3,1100 to 1200,Oct-2018,2700
27,SUMMERHILL,HUME AVENUE,21,Non-landed Properties,3,1200 to 1300,Oct-2018,2700
28,NOTTINGHILL SUITES,TOH TUCK ROAD,21,Non-landed Properties,1,500 to 600,Oct-2018,1800
29,HILLBROOKS,HILLVIEW AVENUE,23,Non-landed Properties,3,1000 to 1100,Oct-2018,2200
30,FORESQUE RESIDENCES,PETIR ROAD,23,Non-landed Properties,2,700 to 800,Oct-2018,2300
31,ROSEWOOD SUITES,ROSEWOOD DRIVE,25,Non-landed Properties,3,1000 to 1100,Oct-2018,2300
32,MAYSPRINGS,PETIR ROAD,23,Non-landed Properties,2,900 to 1000,Oct-2018,2100
33,THE SKYWOODS,DAIRY FARM HEIGHTS,23,Non-landed Properties,4,1100 to 1200,Oct-2018,3800
34,SPRINGDALE CONDOMINIUM,HINDHEDE WALK,21,Non-landed Properties,3,1100 to 1200,Oct-2018,2600
35,PARC OASIS,JURONG EAST AVENUE 1,22,Non-landed Properties,2,1000 to 1100,Oct-2018,2400
36,MAPLE WOODS,BUKIT TIMAH ROAD,21,Non-landed Properties,3,1300 to 1400,Oct-2018,3700
37,PARKVIEW APARTMENTS,BUKIT BATOK STREET 25,23,Non-landed Properties,2,900 to 1000,Oct-2018,2150
38,THE HILLIER,HILLVIEW RISE,23,Non-landed Properties,2,800 to 900,Oct-2018,2500
39,CASABLANCA,ROSEWOOD DRIVE,25,Non-landed Properties,2,900 to 1000,Oct-2018,2050
40,THE WARREN,CHOA CHU KANG LOOP,23,Non-landed Properties,3,1200 to 1300,Oct-2018,2600
41,PARC VISTA,CORPORATION ROAD,22,Non-landed Properties,2,1000 to 1100,Oct-2018,2350
42,THE WARREN,CHOA CHU KANG LOOP,23,Non-landed Properties,2,1000 to 1100,Oct-2018,2300
43,THE HILLIER,HILLVIEW RISE,23,Non-landed Properties,1,600 to 700,Oct-2018,2200
44,HILLION RESIDENCES,JELEBU ROAD,23,Non-landed Properties,na*,400 to 500,Oct-2018,1900
45,THE TENNERY,WOODLANDS ROAD,23,Non-landed Properties,2,800 to 900,Oct-2018,2200
46,LAKEHOLMZ,CORPORATION ROAD,22,Non-landed Properties,3,1300 to 1400,Oct-2018,3100
47,LAKEVILLE,JURONG LAKE LINK,22,Non-landed Properties,3,1100 to 1200,Oct-2018,3100
48,PALM GARDENS,HONG SAN WALK,23,Non-landed Properties,3,1200 to 1300,Oct-2018,2200
49,PARC ROSEWOOD,ROSEWOOD DRIVE,25,Non-landed Properties,1,400 to 500,Oct-2018,1500
50,THE CALROSE,YIO CHU KANG ROAD,26,Non-landed Properties,2,1200 to 1300,Oct-2018,2500
51,CHANTILLY RISE,HILLVIEW AVENUE,23,Non-landed Properties,3,1400 to 1500,Oct-2018,2150
52,FORESQUE RESIDENCES,PETIR ROAD,23,Non-landed Properties,2,700 to 800,Oct-2018,2150
53,SIGNATURE PARK,TOH TUCK ROAD,21,Non-landed Properties,2,1000 to 1100,Oct-2018,2200
54,HILLSTA,PHOENIX ROAD,23,Non-landed Properties,na*,600 to 700,Oct-2018,1900
55,THE HILLFORD,JALAN JURONG KECHIL,21,Non-landed Properties,2,500 to 600,Oct-2018,2000
56,J GATEWAY,GATEWAY DRIVE,22,Non-landed Properties,3,800 to 900,Oct-2018,3400
57,FORESQUE RESIDENCES,PETIR ROAD,23,Non-landed Properties,2,700 to 800,Oct-2018,2000
58,NATURA@HILLVIEW,HILLVIEW TERRACE,23,Non-landed Properties,2,500 to 600,Oct-2018,1800
59,HILLS TWOONE,HILLVIEW TERRACE,23,Non-landed Properties,3,700 to 800,Oct-2018,2200
60,HILLSTA,PHOENIX ROAD,23,Non-landed Properties,1,500 to 600,Oct-2018,1700
61,THE HILLFORD,JALAN JURONG KECHIL,21,Non-landed Properties,1,300 to 400,Oct-2018,1800
62,TERRENE AT BUKIT TIMAH,JALAN JURONG KECHIL,21,Non-landed Properties,3,1500 to 1600,Oct-2018,4350
63,CASTLE GREEN,YIO CHU KANG ROAD,26,Non-landed Properties,2,900 to 1000,Oct-2018,2200
64,THE HILLIER,HILLVIEW RISE,23,Non-landed Properties,1,500 to 600,Oct-2018,2000
65,HILLVISTA,ELIZABETH DRIVE,23,Non-landed Properties,2,1000 to 1100,Oct-2018,2500
66,GUILIN VIEW,BUKIT BATOK STREET 52,23,Non-landed Properties,2,800 to 900,Oct-2018,2250
67,THE LAKEFRONT RESIDENCES,LAKESIDE DRIVE,22,Non-landed Properties,3,1000 to 1100,Oct-2018,3150
68,THE HILLFORD,JALAN JURONG KECHIL,21,Non-landed Properties,1,300 to 400,Oct-2018,1680
69,ESPA,CASHEW ROAD,23,Non-landed Properties,2,800 to 900,Oct-2018,2200
70,HILLINGTON GREEN,HILLVIEW AVENUE,23,Non-landed Properties,3,1300 to 1400,Oct-2018,3000
71,LAKEVILLE,JURONG LAKE LINK,22,Non-landed Properties,2,600 to 700,Oct-2018,2150
72,CAVENDISH PARK,PINE GROVE,21,Non-landed Properties,3,1200 to 1300,Oct-2018,3300
73,SYMPHONY HEIGHTS,HUME AVENUE,21,Non-landed Properties,2,900 to 1000,Oct-2018,2200
74,MAPLE WOODS,BUKIT TIMAH ROAD,21,Non-landed Properties,3,1700 to 1800,Oct-2018,6200
75,NOTTINGHILL SUITES,TOH TUCK ROAD,21,Non-landed Properties,1,300 to 400,Oct-2018,1750
76,THE LAKESHORE,JURONG WEST STREET 41,22,Non-landed Properties,3,1100 to 1200,Oct-2018,3300
77,NORTHVALE,CHOA CHU KANG LOOP,23,Non-landed Properties,3,1200 to 1300,Oct-2018,2400
78,THE LAKESHORE,JURONG WEST STREET 41,22,Non-landed Properties,3,1100 to 1200,Oct-2018,3400
79,ECO SANCTUARY,CHESTNUT AVENUE,23,Non-landed Properties,2,700 to 800,Oct-2018,1900
80,BROOKVALE PARK,BROOKVALE DRIVE,21,Non-landed Properties,3,2400 to 2500,Oct-2018,2500
81,REGENT HEIGHTS,BUKIT BATOK EAST AVENUE 5,23,Non-landed Properties,3,1100 to 1200,Oct-2018,2500
82,CLEMENTI PARK,SUNSET WAY,21,Non-landed Properties,3,1700 to 1800,Oct-2018,3600
83,ESPA,CASHEW ROAD,23,Non-landed Properties,3,1100 to 1200,Oct-2018,2500
84,MEADOWS @ PEIRCE,UPPER THOMSON ROAD,26,Non-landed Properties,2,1100 to 1200,Oct-2018,2200
85,THE LAKEFRONT RESIDENCES,LAKESIDE DRIVE,22,Non-landed Properties,3,1000 to 1100,Oct-2018,3000
86,MAPLE WOODS,BUKIT TIMAH ROAD,21,Non-landed Properties,2,900 to 1000,Oct-2018,2650
87,THE NEXUS,BUKIT TIMAH ROAD,21,Non-landed Properties,1,600 to 700,Oct-2018,2100
88,IVORY HEIGHTS,JURONG EAST STREET 13,22,Non-landed Properties,na*,1400 to 1500,Oct-2018,2800
89,FLORIDIAN,BUKIT TIMAH ROAD,21,Non-landed Properties,2,800 to 900,Oct-2018,3080
90,CASTLE GREEN,YIO CHU KANG ROAD,26,Non-landed Properties,3,900 to 1000,Oct-2018,2100
91,GLENDALE PARK,HILLVIEW AVENUE,23,Non-landed Properties,3,1200 to 1300,Oct-2018,2650
92,CASPIAN,LAKESIDE DRIVE,22,Non-landed Properties,4,1300 to 1400,Oct-2018,3600
93,ECO SANCTUARY,CHESTNUT AVENUE,23,Non-landed Properties,2,700 to 800,Oct-2018,2100
94,GLENDALE PARK,HILLVIEW AVENUE,23,Non-landed Properties,3,1500 to 1600,Oct-2018,3200
95,PALM RESIDENCE,JALAN RAJAWALI,21,Non-landed Properties,3,1000 to 1100,Oct-2018,2100
96,CASTLE GREEN,YIO CHU KANG ROAD,26,Non-landed Properties,2,900 to 1000,Oct-2018,2200
97,THE TENNERY,WOODLANDS ROAD,23,Non-landed Properties,1,600 to 700,Oct-2018,1850
